,p_weibull_shape_BUP,p_weibull_scale_BUP,p_fent_exp_2020
1,0.591423892,0.500390268,0.850116369
25,0.591423892,0.441112862,0.850116369
50,0.591423892,0.396022664,0.850116369
75,0.591423892,0.361514824,0.850116369
100,0.591423892,0.334062931,0.850116369
125,0.591423892,0.311584226,0.850116369
150,0.591423892,0.292761113,0.850116369
151,0.591423892,0.292070726,0.850116369
152,0.591423892,0.291384703,0.850116369
153,0.591423892,0.290702998,0.850116369
154,0.591423892,0.290025568,0.850116369
155,0.591423892,0.289352369,0.850116369
156,0.591423892,0.288683359,0.850116369
157,0.591423892,0.288018494,0.850116369
158,0.591423892,0.287357734,0.850116369
159,0.591423892,0.286701037,0.850116369
160,0.591423892,0.286048362,0.850116369
161,0.591423892,0.285399671,0.850116369
162,0.591423892,0.284754923,0.850116369
163,0.591423892,0.284114079,0.850116369
164,0.591423892,0.283477101,0.850116369
165,0.591423892,0.282843952,0.850116369
166,0.591423892,0.282214593,0.850116369
167,0.591423892,0.281588989,0.850116369
168,0.591423892,0.280967102,0.850116369
169,0.591423892,0.280348897,0.850116369
170,0.591423892,0.279734339,0.850116369
171,0.591423892,0.279123393,0.850116369
172,0.591423892,0.278516023,0.850116369
173,0.591423892,0.277912197,0.850116369
174,0.591423892,0.277311881,0.850116369
175,0.591423892,0.276715041,0.850116369
176,0.591423892,0.276121646,0.850116369
177,0.591423892,0.275531662,0.850116369
178,0.591423892,0.274945057,0.850116369
179,0.591423892,0.274361802,0.850116369
180,0.591423892,0.273781863,0.850116369
181,0.591423892,0.273205212,0.850116369
182,0.591423892,0.272631817,0.850116369
183,0.591423892,0.272061649,0.850116369
184,0.591423892,0.271494678,0.850116369
185,0.591423892,0.270930876,0.850116369
186,0.591423892,0.270370213,0.850116369
187,0.591423892,0.269812661,0.850116369
188,0.591423892,0.269258192,0.850116369
189,0.591423892,0.268706779,0.850116369
190,0.591423892,0.268158393,0.850116369
191,0.591423892,0.267613009,0.850116369
192,0.591423892,0.267070599,0.850116369
193,0.591423892,0.266531138,0.850116369
194,0.591423892,0.265994598,0.850116369
195,0.591423892,0.265460955,0.850116369
196,0.591423892,0.264930184,0.850116369
197,0.591423892,0.264402258,0.850116369
198,0.591423892,0.263877153,0.850116369
199,0.591423892,0.263354845,0.850116369
200,0.591423892,0.26283531,0.850116369
