"","BUP_NI","BUPC_NI","MET_NI","METC_NI","REL_NI","ABS_NI","BUP_INJ","BUPC_INJ","MET_INJ","METC_INJ","REL_INJ","ABS_INJ"
"BUP_NI",0,0,0,0,28286.774,713.226,0,0,0,0,0,0
"BUPC_NI",0,0,0,0,0,0,0,0,0,0,0,0
"MET_NI",0,0,0,0,28513.264,486.736,0,0,0,0,0,0
"METC_NI",0,0,0,0,0,0,0,0,0,0,0,0
"REL_NI",8480.459357,0,20519.540643,0,0,0,0,0,0,0,0,0
"ABS_NI",0,0,0,0,29000,0,0,0,0,0,0,0
"ODN_NI",7632.41343,0,18467.58657,0,2900,0,0,0,0,0,0,0
"BUP_INJ",0,0,0,0,0,0,0,0,0,0,28286.774,713.226
"BUPC_INJ",0,0,0,0,0,0,0,0,0,0,0,0
"MET_INJ",0,0,0,0,0,0,0,0,0,0,28513.264,486.736
"METC_INJ",0,0,0,0,0,0,0,0,0,0,0,0
"REL_INJ",0,0,0,0,0,0,8480.459357,0,20519.540643,0,0,0
"ABS_INJ",0,0,0,0,0,0,0,0,0,0,29000,0
"ODN_INJ",0,0,0,0,0,0,7632.41343,0,18467.58657,0,2900,0
