"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
27035.5285248372,125817.703008081,230827.185967205,543328.942456571,804.087648142006,3247.94841659067,6060.7987441578,19186.4307368551,26231.4408766952,122569.754591491,224766.387223047,524142.511719716,8.83008494774884,39.0107729166268,70.0094182932417,171.893748207462,0.601885551903194,2.77261446397505,5.03901224849972,12.2006427029618
19321.019140532,90120.2851831948,165580.518711342,393864.972845145,2970.76646741996,12443.247926648,22154.9813266708,54850.1771234967,16350.252673112,77677.0372565468,143425.537384672,339014.795721648,8.89697469025373,39.3091959186179,70.5857800896191,172.702829283026,0.593850345320566,2.69411686989883,4.86650828978761,11.647831286682
18766.3699268678,92809.3395756685,174414.687145302,425240.491897441,869.614662845514,4760.00951215792,9450.18153448321,29048.2119597753,17896.7552640222,88049.3300635106,164964.505610819,396192.279937666,9.18937793931,40.5616758075142,72.7047885460408,177.526477352222,0.604811850862614,2.75398970978835,4.97887119481171,12.0709641052019
27934.2345653256,123698.352313485,224235.532232152,528054.857471071,4543.89342375987,18893.0389268424,33773.2511760895,87505.9470265841,23390.3411415658,104805.313386642,190462.281056062,440548.910444487,8.86974244171174,39.3303121617269,70.7266029424239,175.182407727762,0.658119264207108,2.95493112684511,5.30426499206697,12.5507461489299
33632.9697217113,156002.484358762,285492.812868838,672114.663147774,2712.0868830783,12530.3964984399,23550.6684631103,67740.6638500345,30920.8828386331,143472.087860322,261942.144405728,604373.99929774,8.79284520860915,38.7504835444858,69.5823152473001,171.414521041632,0.63521124106613,2.86438809501096,5.16484832052665,12.3343742030536
20490.3132097904,97219.7741948042,178184.207514744,420388.242811503,2689.44198998197,10725.4812902766,18700.9893829596,44233.2832320377,17800.8712198085,86494.2929045276,159483.218131784,376154.959579466,9.02322500174481,40.0052242797308,72.0562459302934,174.590671817023,0.625403114911834,2.8657651091561,5.21370774120044,12.7489272849067
27497.8342028289,129835.794628441,239344.755515766,567861.900502759,890.600340054579,3475.50273029762,6714.60359633456,24096.2640397796,26607.2338627744,126360.291898143,232630.151919432,543765.636462979,9.07148472633607,40.5327074119549,73.2837880766533,179.096509825459,0.630016177147867,2.90228478324174,5.28024064430009,12.7759103106843
15474.9941595939,70176.8913430196,128270.64635449,312833.421267576,528.302894799825,2727.28051450217,5604.10402245113,20266.2224826244,14946.691264794,67449.6108285174,122666.542332039,292567.198784952,9.06038381315976,39.6278414140815,70.8353957890741,171.448316147858,0.629014647948553,2.86379841829161,5.19399771113922,12.683876134679
18217.0806219362,87312.588922674,161692.281957221,390126.185571741,777.903761447083,3007.77085144582,5515.90836410005,16992.9818060489,17439.1768604891,84304.8180712281,156176.373593121,373133.203765692,8.76212152866259,38.8392686009758,69.7742093085064,171.478385035556,0.625458175352428,2.82603624796154,5.09564921098662,12.1560740410429
22279.1866516374,107892.929508714,199051.569768815,471173.289581986,2165.20621208041,8749.56581233674,15515.2455696467,40119.8653745093,20113.980439557,99143.3636963769,183536.324199169,431053.424207476,8.9809997255566,39.438424390423,70.6193440155521,172.908782408013,0.608019437143571,2.75813424857251,4.98741375977351,12.0847435555497
21762.0226180844,97527.4971053569,176216.099845418,416005.385925568,956.437834466471,4527.56877112892,8522.80452573431,23570.0641543974,20805.5847836179,92999.928334228,167693.295319683,392435.32177117,8.99591751827629,39.4862912117574,70.7837171099425,171.880963402703,0.65370152068824,2.96053065063728,5.35292544155938,12.9014735996149
24785.9966023192,108089.633027106,193808.061949701,453854.366613841,8227.69684157061,31002.1476027162,52455.3381546711,117142.272967606,16558.2997607486,77087.4854243899,141352.72379503,336712.093646234,8.88987162130172,39.2714118607493,70.4890541139067,171.636266786327,0.616000133301215,2.79935513824618,5.06753261307934,12.2455172652395
23806.9810078299,111393.702215077,203558.065015832,481993.59965757,2903.07811443674,14669.0198311063,28006.1914951891,74963.6533051209,20903.9028933932,96724.6823839711,175551.873520642,407029.946352449,8.77802377923842,39.3220571216459,71.1010709592881,176.222397890784,0.577756431477536,2.65258034512258,4.81520114182032,11.6525174746469
22485.5912340376,111611.274271611,208217.772030313,507695.353947633,1028.84223994868,4943.32368932064,9439.78093707043,27492.0825894458,21456.7489940889,106667.950582291,198777.991093243,480203.271358187,9.34672290622958,41.4312467092507,74.4932839116805,179.442998949671,0.582676468287949,2.69056770959584,4.90364827520786,12.1105184528269
25464.6134458664,114326.585639964,207535.49584698,492017.000075241,2000.59899622982,7998.32113884801,14085.3611837628,35475.5849564286,23464.0144496366,106328.264501116,193450.134663217,456541.415118812,9.11161937110918,39.9774294430986,71.3499812871043,171.002012239763,0.613355184941218,2.7956638211578,5.05940216512693,12.1953592585617
22427.3314000281,112172.403692868,208882.818977542,490055.906275224,378.810584798022,1753.61915299791,3479.8980726723,12227.6327551932,22048.5208152301,110418.78453987,205402.920904869,477828.273520031,8.95789827617996,39.8823038736165,72.0891908488302,177.048825480449,0.598914243435485,2.76536817629226,5.04105795668613,12.3117584574705
31103.7029560547,129016.25881582,226950.215294564,513487.634163307,7226.5463939364,26450.4745909741,44245.4653638997,97533.1786561992,23877.1565621183,102565.784224846,182704.749930664,415954.455507108,8.85396999535725,39.5496658768675,71.481416757701,177.678906362909,0.611671552320466,2.77176018741631,5.00229626699004,11.9586921046844
20996.5486191445,101979.833687004,189143.278819256,456913.730404549,1488.17861329867,8409.6029195967,16643.4572759775,48770.2168747083,19508.3700058459,93570.2307674072,172499.821543279,408143.513529841,8.98558367304831,39.7941081910856,71.5817900131792,176.143767632286,0.599965877577998,2.74212545633157,4.96402637314636,11.9752034637943
21923.60451968,108234.333207376,202534.948213139,485253.052949706,771.827914263085,3541.5482597353,6827.97295205367,21428.9519989109,21151.7766054169,104692.784947641,195706.975261085,463824.100950795,8.99937425903752,39.8277304558028,71.4988345237833,173.704508221096,0.60053053638921,2.74841100009681,4.98679616916714,12.0692641120827
19601.6242409302,91718.5617817091,168463.870277997,401845.699998623,1045.17932464092,5701.29953025899,11214.8246971265,32797.3102068736,18556.4449162893,86017.2622514501,157249.04558087,369048.389791749,8.96388509844652,39.9101562932766,72.0167901993567,179.477767532945,0.615183413922553,2.81751335759743,5.1075659165076,12.2898726669513
22931.8988295609,110934.855869163,205708.862740144,500200.319653964,1377.47720459338,5564.82492880503,10934.4924461198,42300.6430931813,21554.4216249675,105370.030940358,194774.370294024,457899.676560782,8.90690267755442,39.762859020042,71.8177131051073,178.939021294555,0.620089741653103,2.82765877781536,5.12684550095784,12.4047685350231
28418.5610199115,135345.772894528,251445.823366576,602926.592474527,2456.92136662458,9836.7822660448,17515.5829614496,46093.4926555433,25961.6396532869,125508.990628483,233930.240405127,556833.099818984,8.87765693989128,38.9814455418744,69.6636254115591,168.38073243659,0.59657655314537,2.75206846482275,5.00125915618977,12.0562538465857
20838.7071572553,98598.7216728833,183113.442430327,439767.893102957,1076.6481301287,5609.4392449694,10941.1470514411,32192.9477801042,19762.0590271266,92989.2824279139,172172.295378886,407574.945322853,8.79579915016938,38.6778496012558,69.3005637369329,168.517168504709,0.627871293284339,2.87523761469119,5.22139897874952,12.6385615049794
20239.3624561724,105805.037311371,201390.469430934,492589.82154896,1946.44724078152,9553.25498770939,18138.2233367317,48624.9872129608,18292.9152153909,96251.7823236614,183252.246094203,443964.834335999,8.75999382955022,38.7842988055542,69.4954036967048,168.702403023062,0.575472617485293,2.64247901472221,4.78817049935854,11.4436866628914
21526.407191381,93655.0306641939,169076.243583272,401263.002080869,1143.36297966473,6048.22870879124,11826.7420835929,33546.7602923146,20383.0442117163,87606.8019554027,157249.501499679,367716.241788555,8.98111826919498,39.8107560217981,71.5209323844783,174.233898269442,0.587069274924925,2.69449875151198,4.89162019002748,11.8430253616811
