"ICER (1-year)","ICER (5-year)","ICER (10-year)","ICER (Lifetime)","ICER (Health Sector 1-year)","ICER (Health Sector 5-year)","ICER (Health Sector 10-year)","ICER (Health Sector Lifetime)"
149794.101767822,142760.513816196,139918.727709554,280462.872747901,4194.99873149783,3902.1268888078,3746.48457571255,7085.68751656632
75094.9566838032,72079.8677864746,69279.8890839694,127403.364155332,30586.5933630931,29766.3043848792,28878.4184028185,54349.0823029021
-155901.204414918,-136600.957593007,-124398.582520697,-246562.152324638,-155070.696102353,-124248.06011726,-108506.160209948,-209034.966114337
83298.5111559983,88465.2598021173,91440.36572096,170377.239889766,-3369.05594142703,-4895.90110715616,-5790.67856503833,-13832.716103049
138816.583557257,141660.517853753,142367.808216162,275419.425069147,-13377.7065751788,-13109.8882102076,-12963.6079613541,-24815.888564673
162040.070763728,162935.717760754,164672.478036934,331889.100813749,25573.0778082836,24767.6687914539,24391.0356495588,46270.4671956338
260424.572983585,272535.632689742,282775.045311131,564088.625922502,-20244.622088129,-20742.0437833179,-21355.9060095381,-43065.2556212123
114081.835690066,115080.248745363,114459.410812957,220773.709919686,-266.018543182649,711.58704034986,1337.93933419485,6213.40883577317
39588.8164251809,36683.5744672302,35336.2037841565,70235.6289924024,4049.88011351367,3743.5714012092,3568.47046115443,6165.27145754135
1053911.08640397,644358.752263574,502700.9226374,900200.499701296,209872.239323605,134868.422141101,108217.980863148,196246.447287721
134833.412877436,133778.351563776,133275.787984063,248451.685043495,5278.37138285149,5394.71661161887,5477.04043104997,10650.795190777
223298.836012252,218448.694775265,215482.017029952,404984.192166305,157725.91308047,153758.630614442,151584.175849309,285620.294832788
215683.345722033,175771.03436051,155803.045906836,305323.35280754,-3940.88575762946,-4550.15470217349,-4395.49356164255,-8179.11133249783
98852.9599055604,75567.7272608431,64687.430695127,114951.621890095,9971.17098467051,8768.98320768178,8021.54021968874,14510.3265660664
250259.353254989,256044.896415007,272662.316797923,514969.638280754,45519.3979522571,46093.2586360042,48773.4226642237,89751.6901292913
-203877.641905155,-159479.777760721,-142886.174081638,-290747.524477553,-74458.0299807795,-61525.0133351288,-55653.516388503,-107759.78388945
277104.68622018,276048.564846374,272650.005746916,508653.623418468,127088.666455927,124750.437860593,122434.094990462,227926.450324672
-71014.9555524401,-82995.6610962548,-91595.8287162854,-177835.858197064,-783566.131355706,-775404.696679472,-812077.810622465,-1569866.03154914
4449.66357092423,-29577.8989880858,-42832.7673122793,-92229.4294317156,-264778.993697777,-206699.565307116,-189359.520902679,-353127.218566114
47371.5389889339,47748.2290201124,47258.1462243998,88402.7199134914,-34502.5728597089,-33578.7868169948,-32985.4490311426,-62451.4311096805
