"Total Costs (1-year)","Total Costs (5-year)","Total Costs (10-year)","Total Costs (Lifetime)","Health Sector Costs (1-year)","Health Sector Costs (5-year)","Health Sector Costs (10-year)","Health Sector Costs (Lifetime)","Criminal Costs (1-year)","Criminal Costs (5-year)","Criminal Costs (10-year)","Criminal Costs (Lifetime)","Treatment Costs (1-year)","Treatment Costs (5-year)","Treatment Costs (10-year)","Treatment Costs (Lifetime)","Total QALYs (1-year)","Total QALYs (5-year)","Total QALYs (10-year)","Total QALYs (Lifetime)"
23716.3526510094,114533.480826393,212667.381044154,506928.160798287,711.133797382866,2939.5125219767,5574.54911799346,18266.7918496745,23005.2188536266,111593.968304416,207092.83192616,488661.368948613,8.80234203833447,39.0900710286914,70.3545415140498,174.190014580084,0.579727297107739,2.69357144374456,4.90922401199755,11.938686664956
15728.8195587849,78036.1648780246,146575.550906225,358915.482220224,1507.64360620565,7452.95570950979,14233.0083087424,39941.0516462255,14221.1759525793,70583.2091685148,132342.542597482,318974.430573999,8.87554466530383,39.1639386689677,70.267787657528,171.071352954881,0.54601491481526,2.52646783451259,4.59218672177697,11.0461013083577
22760.8132020564,107581.741170339,198861.402496513,473694.699591161,4842.77895974423,18196.5349491133,30773.7300730218,70127.6054021962,17918.0342423121,89385.2062212256,168087.672423491,403567.094188965,9.15342335523638,40.030779104919,71.4715394844799,173.570453862918,0.579190218943994,2.64584697158967,4.7823519511367,11.5461391670589
21596.5486001311,101492.3189263,188634.184372983,461720.265119258,4800.2247586135,20121.9794588552,36027.7911739245,92891.5700382481,16796.3238415176,81370.3394674446,152606.393199059,368828.69508101,8.96996815364106,40.1679344144829,72.4959347060716,180.422998530149,0.582035239688044,2.70391696109399,4.91492547468347,11.8701945332027
25607.7410472875,128038.028985127,240376.980613828,584835.265249588,3485.47541962063,15118.3503571585,27658.787914638,75604.7272206169,22122.2656276669,112919.678627968,212718.19269919,509230.538028971,8.89930017530021,39.4701513696307,71.0522372700472,175.766211761984,0.577399497909998,2.66698337139909,4.84795201636701,11.714763317331
14390.1061175819,75674.2832472898,142964.700469357,349405.096971097,1726.71055028049,7450.37629137847,13484.329852815,34337.1362570438,12663.3955673014,68223.9069559114,129480.370616542,315067.960714053,9.03841572913752,40.2694631190832,72.7173163572239,177.13324204316,0.587756827401238,2.73353203439743,4.99983164323168,12.3285846938322
21705.4094933079,109179.726939375,205658.869037131,500664.226125914,1340.88599426428,5047.58729101829,9258.64925175717,29226.4597062092,20364.5234990436,104132.139648357,196400.219785374,471437.766419704,9.14458666291079,40.8594003294725,73.8781178989616,180.808240306759,0.607773941543295,2.82649261072762,5.16111455083038,12.5760393582622
12569.2873028454,60135.9011136507,112160.75008267,281760.034281834,535.078486201142,2665.19307032825,5415.79216815468,19391.6996179008,12034.2088166443,57470.7080433224,106744.957914516,262368.334663933,9.0767598118429,40.1445580235029,72.0696926830395,175.017334380248,0.603544275393867,2.77654634559592,5.05325003336071,12.3744638859791
15791.6948907446,79470.4702849199,149457.910286757,365808.667061528,529.790220116129,2207.47994513267,4280.40513394236,14858.3942051396,15261.9046706285,77262.9903397872,145177.505152814,350950.272856389,8.70760642450324,38.246329970047,68.4935311037115,167.970955558046,0.564193759029819,2.61225886253365,4.74942153624274,11.4555295573301
16579.2749997894,90132.8547674375,172143.941503146,422989.05255403,1030.14535376667,5032.26819039934,9722.757293616,29615.5551290212,15549.1296460227,85100.5865770382,162421.18420953,393373.497425008,9.01373270205884,39.3658233551064,70.3311509654814,171.587738521771,0.602611095087604,2.73057184691522,4.93388764304291,11.9114863856022
15068.408751945,74974.4852673246,140571.151506949,349556.351093826,694.400561027398,3618.10093733918,7057.95613754977,20721.4819019012,14374.0081909176,71356.3843299854,133513.195369399,328834.869191925,9.00065213700837,39.539575918664,70.9157384396807,172.787809525248,0.604057936629266,2.79194573705146,5.08547289914612,12.4130020967423
15685.1711048562,77548.8548719276,145471.642747424,363009.265232946,1799.37846334754,9505.52922341782,18452.3323852138,53072.6002682072,13885.7926415086,68043.3256485098,127019.31036221,309936.664964738,8.82851518001197,39.0616688680539,70.1624450410216,171.020453136292,0.575243872946307,2.65954758212139,4.84321496528436,11.7954347119288
17751.7073891918,90690.130580887,170405.767974202,417025.867947918,3013.71781859357,15204.96964881,28941.4794245873,76704.0321716141,14737.9895705982,75485.160932077,141464.288549615,340321.835776304,8.83037046792922,39.5244172902137,71.4563408373457,177.290906042777,0.549681599837813,2.53479318121635,4.6024177726078,11.1024095166046
19551.6273208963,103228.812579352,195956.691796452,485907.024377865,732.897071804656,3970.61128307438,7919.35034992452,24741.7449066187,18818.7302490916,99258.2012962778,188037.341446527,461165.279471246,9.18351613897747,40.4156070994472,72.4703493761255,173.481855144783,0.552996386720899,2.5796412334915,4.7141048028191,11.6357854692702
18357.2999617674,90065.2611108747,169035.975933947,419304.041143367,707.857579590289,3630.79215456079,7198.62531523535,22802.7777202095,17649.4423821771,86434.468956314,161837.350618712,396501.263423157,9.07676144115279,39.6944750024618,70.7602471117248,169.780705718152,0.584955393318415,2.7009096398842,4.91820362927804,12.019931099086
24474.5446401709,118760.483623893,219293.757724583,511240.283893596,1126.47209092097,4295.20600056291,7534.91146988978,20079.2007370368,23348.0725492499,114465.27762333,211758.846254694,491161.083156559,9.05891518711632,40.2545040549785,72.6725584660488,177.861782704672,0.58887286164878,2.72405836244921,4.9681961923205,12.1351611347171
18081.0705618095,85407.6951949018,157947.398211733,384756.542303939,1253.96972153997,6743.11835382556,13259.5959956417,39849.0897928702,16827.1008402696,78664.5768410762,144687.802216091,344907.452511068,8.89356759992834,39.9893769672935,72.4750349014583,181.258478309174,0.564676199871256,2.61378594239465,4.74921423644396,11.4686030916231
