"variable","mean","sd","q50","q025","q975","min","max"
"n_CRIMINAL_costs_10yr",412761.081253821,81280.2115081579,405328.75621801,273210.498020821,586617.633289236,182910.307478451,704880.406001817
"n_CRIMINAL_costs_6mo",17457.3264310024,3166.23315963977,17289.3381888442,11988.0862540332,24385.8392138167,9327.44471979815,29459.6678761446
"n_CRIMINAL_costs_life",412761.081253821,81280.2115081579,405328.75621801,273210.498020821,586617.633289236,182910.307478451,704880.406001817
"n_HEALTH_SECTOR_costs_10yr",64324.4870916086,4685.40694950816,64261.0648109894,56186.0717486549,74054.2653752714,50781.1075491906,93454.1021456823
"n_HEALTH_SECTOR_costs_6mo",4216.11820937769,230.619125338359,4195.00133620454,3808.92540785357,4712.61356841401,3562.93523339231,5662.88251832289
"n_HEALTH_SECTOR_costs_life",64324.4870916086,4685.40694950816,64261.0648109894,56186.0717486549,74054.2653752714,50781.1075491906,93454.1021456823
"n_HRU_costs_10yr",27737.8126729165,4879.95238047107,26824.1902000896,20707.848875997,39974.4419011829,17541.6397677961,59752.4722858821
"n_HRU_costs_6mo",1326.73566476463,224.549129209632,1296.34488861765,979.168947430381,1848.92076893992,842.179321137412,2673.26190062354
"n_HRU_costs_life",27737.8126729165,4879.95238047107,26824.1902000896,20707.848875997,39974.4419011829,17541.6397677961,59752.4722858821
"n_TOTAL_costs_10yr",477085.56834543,80699.8145981167,470888.16930849,339209.258226206,649605.545943724,246151.493991449,767579.186694394
"n_TOTAL_costs_6mo",21673.4446403801,3174.57665833627,21470.1910710229,16153.8181188956,28476.285266387,13367.8660283698,33496.8060458928
"n_TOTAL_costs_life",477085.56834543,80699.8145981167,470888.16930849,339209.258226206,649605.545943724,246151.493991449,767579.186694394
"n_TOTAL_qalys_10yr",5.2616848917571,0.245441076605512,5.27380737867111,4.7759500983208,5.7151307612706,4.45263613149328,5.99902318325049
"n_TOTAL_qalys_6mo",0.340569066625585,0.0128719228808356,0.341260404024113,0.315752130141053,0.364140587394547,0.295158353084233,0.380417648878768
"n_TOTAL_qalys_life",5.2616848917571,0.245441076605512,5.27380737867111,4.7759500983208,5.7151307612706,4.45263613149328,5.99902318325049
"n_TX_costs_10yr",36513.3662614744,3533.20826540042,36624.4890782754,29865.1643243729,43518.0577678354,23902.7083206407,47150.8067037362
"n_TX_costs_6mo",2885.93788610416,123.020665961861,2885.47211545926,2629.76922510639,3124.61921018535,2434.62168323152,3297.32614429871
"n_TX_costs_life",36513.3662614744,3533.20826540042,36624.4890782754,29865.1643243729,43518.0577678354,23902.7083206407,47150.8067037362
